No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
2086,斗志,6.8,0.4,5.8,1.94,30
2104,旗开得胜,7.2,0.75,5.8,1.47,7
2139,发财,6.8,0.4,5.8,1.17,35
2166,激赏,6.4,0.49,5.8,1.33,16
2178,引以为傲,6.6,0.49,5.8,1.6,10
2199,心动,6.4,0.49,5.8,0.75,27
2284,绝不,3.4,1.36,5.8,1.17,336
2293,辩论,4.4,0.8,5.8,0.75,102
2341,火灾,3.2,0.75,5.8,1.17,71
2425,流亡,3.6,0.49,5.8,0.4,26
2436,制止,4.4,1.02,5.8,0.75,59
2442,开除,3.2,0.4,5.8,0.75,37
2530,暴露,3.4,0.49,5.8,0.75,76
2532,不肖,3,0.63,5.8,0.75,35
2544,受阻,3.4,0.8,5.8,0.75,20
2547,独裁,3,0.63,5.8,0.98,54
2550,逃亡,3,0.89,5.8,0.75,22
2567,加剧,4,0.63,5.8,1.72,9
2575,抢走,3.4,0.49,5.8,0.75,22
2576,大声,4.6,0.49,5.8,0.75,195
2583,烧毁,3.2,0.4,5.8,0.75,6
2611,发作,4.2,0.75,5.8,0.75,92
2622,求助,3.6,0.8,5.8,0.75,47
2649,冲撞,3.6,0.8,5.8,0.75,15
2676,暴跌,3,0,5.8,1.17,19
2683,有毒,3,0,5.8,1.17,28
2697,罢黜,3.6,1.36,5.8,1.72,10
2704,追捕,4,1.1,5.8,0.75,19
2713,断绝,3.2,0.4,5.8,0.75,32
2759,受难,3,0.63,5.8,1.17,51
2786,遇刺,2.8,0.4,5.8,0.75,11
2850,逐出,3.3,0.748,5.8,1.288,18
2857,逃跑,3.5,0.894,5.8,0.98,14
2858,蛮横,3.3,1.077,5.8,1.122,15
2889,饮恨,3.8,0.748,5.8,1.166,15
2893,侵吞,3.4,0.583,5.8,1.166,0
2906,压倒,4.3,0.4,5.8,1.568,12
2958,奋起,6.4,0.583,5.8,0.98,12
3055,围困,3.4,0.8,5.8,0.748,0
3071,诱惑,4.3,0.748,5.8,1.122,62
3094,一面倒,3,1.095,5.8,1.568,0
3104,捏造,3.7,0.678,5.8,0.678,10
3135,置之不理,3.5,0.775,5.8,0.748,8
3169,刻苦,6.4,0.97,5.8,1.166,17
3175,吃苦,4.2,1.166,5.8,1.47,30
3247,知耻,6.3,0.6,5.8,0.4,9
3347,毒害,1.9,0.374,5.8,1.631,19
3419,报喜,7.5,0.447,5.8,1.435,14
3531,恶行,2.6,0.583,5.8,1.568,10
3540,豪勇,6.6,0.583,5.8,1.503,0
3541,爱人如己,6.9,0.583,5.8,1.03,0
3555,不相上下,6.2,0.837,5.8,0.837,16
3608,源源不绝,6.5,1.118,5.8,1.351,8
3678,万幸,7,0.791,5.8,1.304,5
3679,解渴,6.6,0.894,5.8,1.304,22
3696,过载,2.9,1.14,5.8,1.351,0
3794,赔钱,2.4,0.652,5.8,1.351,23
3868,历尽沧桑,4,1,5.8,1.643,0
3881,过头,2.8,0.447,5.8,0.57,12
3893,严苛,3.2,1.151,5.8,1.525,19
3953,缤纷,7.8,0.274,5.8,1.304,30
3984,干脆,6.1,1.245,5.8,1.304,167
4035,出糗,2.3,1.204,5.8,1.304,6
4100,如愿以偿,7.3,0.837,5.8,1.483,6
4164,不像话,2.4,0.962,5.8,0.837,5
4213,特立独行,6.2,1.891,5.8,1.151,9
4380,见效,6.5,0.935,5.8,1.44,8
4386,事半功倍,7.3,0.671,5.8,1.095,17
4395,奇货可居,7.2,1.151,5.8,1.525,4
4417,妨碍者,3.2,0.748,5.8,1.166,0
4418,走好运,7,0.632,5.8,1.327,0
4453,唠唠叨叨,3.8,0.4,5.8,1.47,0
4460,可信任,7.8,0.748,5.8,1.47,0
4465,死气沉沉,3,0.632,5.8,1.72,0
4466,死气沉沉,3,0.632,5.8,1.72,4
4540,臭脸,3.3,0.671,5.8,0.837,0
4565,不孝,2.1,1.025,5.8,1.643,19
4587,挑拨是非,2.8,1.037,5.8,1.304,0
4709,可恨,2.2,1.304,5.8,1.924,9
4739,嗜杀成性,2.1,1.14,5.8,0.908,0
4752,猛攻,4.3,1.037,5.8,1.304,7
4792,嫉妒,3.4,1.194,5.8,1.605,38
4860,啼哭,3.9,0.822,5.8,1.304,0
4894,批驳,3.9,0.418,5.8,1.987,0
4916,难以置信,4.9,0.224,5.8,1.754,16
4962,功亏一篑,3,0.354,5.8,1.643,5
5006,倒坍,3.6,0.548,5.8,2.28,0
5019,失恋,4,0.707,5.8,2.387,10
5032,死光,2,1.225,5.8,2.588,8
5033,死光光,2,1.225,5.8,2.588,5
5208,见死不救,2.2,0.758,5.8,1.643,0
5259,恣意妄为,2.9,0.742,5.8,1.095,0
5349,整死,2.2,0.908,5.8,1.151,9
5350,叫嚣,3,0,5.8,1.037,10
5412,落荒而逃,3.5,0.935,5.8,0.908,5
5508,黏腻,2.7,0.908,5.8,1.255,0
2809,通牒,3.6,0.583,5.9,1.497,0
2884,海难,3.1,0.2,5.9,2.154,0
2960,欢腾,6.7,0.748,5.9,1.114,0
3083,三八,3.9,0.49,5.9,1.02,12
3120,造谣,3.4,1.2,5.9,0.49,8
3123,一意孤行,3.4,0.8,5.9,0.8,0
3130,怨言,3.4,0.374,5.9,0.49,35
3153,不欢而散,3.1,0.2,5.9,1.2,10
3160,诽谤罪,3.3,0.748,5.9,0.663,0
3164,改头换面,6.2,0.4,5.9,0.8,11
3184,戒除,6.3,0.6,5.9,1.114,0
3188,雄伟,6.2,0.4,5.9,0.49,41
3201,酬谢,6.5,0.775,5.9,0.2,0
3217,舒畅,7.3,1.077,5.9,1.114,27
3256,爱抚,6.8,0.98,5.9,0.2,10
3276,讨人喜欢,7.4,1.068,5.9,1.685,0
3301,溃疡,3.3,0.927,5.9,2.354,14
3329,加害,2.3,0.4,5.9,1.855,13
3339,人身攻击,2.6,0.374,5.9,1.497,13
3435,学成归国,7,0.837,5.9,1.655,0
3440,心想事成,7.7,0.678,5.9,1.744,9
3536,抹煞,3.8,0.678,5.9,1.068,15
3607,新颖,6.6,1.084,5.9,0.894,47
3707,漏气,3.3,0.837,5.9,1.475,13
3721,嘴硬,3,1.225,5.9,1.597,0
3749,丑陋,2,1.173,5.9,1.245,27
3769,图文并茂,7.6,0.894,5.9,1.245,7
3789,与众不同,6.8,0.837,5.9,0.894,35
3889,难听,2.7,0.837,5.9,1.14,14
4120,神清气爽,7.7,0.671,5.9,1.342,5
4167,叛逆,3.2,0.837,5.9,1.14,25
4293,小心翼翼,5.7,1.095,5.9,1.517,48
4305,心不甘情不愿,2.9,0.894,5.9,1.746,4
4526,脱轨,3,0.707,5.9,1.14,0
4538,颠倒是非,2.9,0.652,5.9,0.894,0
4592,打骂,3,0.935,5.9,1.14,16
4595,污辱,2.5,0.707,5.9,1.245,6
4637,催吐,4.3,0.671,5.9,1.673,0
4737,有出息,7,0.354,5.9,1.746,0
4796,杠上,3.8,0.837,5.9,1.387,0
4805,失身,2.7,1.304,5.9,2.247,4
4837,走着瞧,3.6,0.962,5.9,1.884,0
4854,阵痛,4.2,0.758,5.9,1.517,4
4924,呛声,3.4,0.894,5.9,1.14,0
5143,死缠烂打,2.8,0.758,5.9,2.074,0
5392,残害,2.5,0.935,5.9,1.14,11
5474,干痒,3,1,5.9,1.387,0
9,不幸,2.6,0.49,6,1.549,282
15,不耐烦,3.6,0.8,6,1.095,37
17,不屑,3,0.632,6,1.265,27
18,不悦,3.2,1.166,6,1.265,19
33,肯定,6.8,0.748,6,0.632,669
56,小心,4.6,1.02,6,0.894,435
77,逃避,3,0,6,0.632,148
101,关心,6.4,0.49,6,0.894,664
119,愚蠢,2.8,0.4,6,1.673,28
150,奉献,6.8,0.4,6,0.894,95
168,甜心,6.8,0.748,6,1.414,0
180,称赞,6.8,0.4,6,0.632,79
193,敌人,3,0.632,6,1.549,159
199,亲爱,7.4,0.49,6,1.265,46
207,讥,3.2,0.4,6,0.894,0
244,仇,2.4,1.02,6,0.894,21
288,充沛,6.6,0.49,6,1.095,35
319,打败,6.2,1.166,6,0.894,71
335,丢人,2.8,0.4,6,1.095,0
352,多情,4.2,1.327,6,1.095,19
353,多疑,3.8,0.4,6,0.632,6
359,妄想,3.2,0.748,6,1.414,14
368,曲解,3.4,0.49,6,1.414,7
369,有力,6,0.894,6,0.894,96
400,自负,4.6,1.2,6,1.095,14
403,自豪,6.6,0.49,6,0.894,45
407,至善,7.6,0.8,6,2.191,12
434,壮阔,6.8,0.748,6,1.549,13
446,宏大,7,0.632,6,0.894,10
453,弄坏,3.2,0.748,6,1.673,12
488,辛酸,2.8,0.748,6,1.414,29
503,受苦,3,0.632,6,0.894,40
569,果断,6,0.632,6,0.632,15
578,沾沾自喜,4.6,1.2,6,1.095,13
581,玩笑,5.6,1.2,6,0.894,33
619,哀怨,2.8,0.748,6,1.549,14
630,哈哈,6.6,1.356,6,0.894,135
634,帅气,7,0.632,6,1.265,17
675,炫耀,3.8,0.4,6,0.894,44
682,珍爱,7.2,0.748,6,1.789,4
685,看不起,3.2,0.748,6,1.095,30
707,负债,3.2,0.4,6,1.265,21
723,凌乱,3.4,0.49,6,0.894,31
731,奚落,3.2,0.748,6,1.549,8
750,悔改,4,0.894,6,1.549,12
766,浪漫,6.6,1.02,6,1.095,207
769,消灭,3.6,1.02,6,1.265,80
773,疲于奔命,2.4,1.02,6,1.095,20
779,疼痛,3.4,0.49,6,0.894,75
806,能干,6.8,0.748,6,1.549,55
824,讨喜,6.8,0.4,6,1.095,5
838,高傲,3.2,0.98,6,1.549,8
850,伪造,2.6,0.8,6,0.894,51
854,执拗,3.6,0.49,6,0.632,4
883,排斥,3.2,0.748,6,0.894,107
886,挂虑,4.8,1.47,6,0,0
936,笨手笨脚,3.2,0.4,6,1.095,0
942,粗鲁,3.4,0.8,6,2.098,17
952,处罚,3.4,0.8,6,0.894,69
1031,悲伤,2.8,0.748,6,1.095,52
1053,恶运,2.8,0.4,6,0.894,0
1058,提防,4.6,1.2,6,1.095,20
1064,期盼,6.2,0.748,6,1.265,80
1083,无能,3,0.632,6,0.894,59
1102,发牢骚,3.6,0.49,6,1.414,11
1110,绝望,2.2,0.98,6,2,68
1119,虚荣心,3,0.632,6,1.095,9
1135,傲慢,2.8,0.748,6,1.414,16
1146,伤悲,3,0.632,6,0.894,7
1184,敬重,7,0.632,6,0.894,29
1207,烦心,3.2,0.4,6,0.632,5
1215,烦扰,3.4,0.49,6,1.789,0
1216,烦杂,3.4,0.49,6,1.789,4
1222,罪人,2.8,0.4,6,0.632,12
1224,罪犯,2.6,0.49,6,0.632,28
1226,罪行,2.4,0.8,6,0.632,31
1231,义,6.4,0.894,6,0.707,55
1238,解脱,6.2,0.748,6,0.894,87
1246,贼,2.6,0.8,6,1.265,56
1283,漂亮,7.2,0.4,6,1.265,361
1295,祸,3.2,0.98,6,1.414,43
1338,恶,2.4,0.8,6,0.894,0
1349,庆幸,6.4,0.49,6,1.095,43
1350,庆贺,7,0.632,6,0.894,17
1351,忧心,3.6,0.49,6,0.632,46
1364,挚诚,7.6,0.8,6,2,0
1393,热望,6.2,0.98,6,1.414,0
1442,拥护,6.4,0.49,6,0.894,32
1453,机灵,7,0.632,6,1.265,9
1465,兴致,6.2,0.98,6,0.894,28
1499,优势,6.8,0.4,6,0.894,271
1504,压制,3.6,0.8,6,0.894,69
1537,谢意,6.2,0.4,6,1.549,32
1551,坏心,3.4,0.49,6,0.894,5
1574,骗,3.4,0.49,6,0.894,132
1586,赢取,6.4,0.49,6,1.549,6
1589,骚扰,3.4,0.49,6,0.632,94
1615,变动,4.8,0.4,6,0.894,190
2027,欢庆,6.8,0.75,6,0.63,0
2113,激荡,5.6,1.02,6,1.1,40
2145,出乎意料,5.2,0.4,6,0.89,18
2198,雀跃,6.8,0.4,6,1.1,19
2263,危险,2.4,0.49,6,0.89,449
2280,爆炸,3.2,0.98,6,1.41,69
2301,自杀,2,0.63,6,1.1,228
2351,绑架,2.6,0.49,6,1.1,32
2367,争执,3.4,0.49,6,0.63,55
2370,中毒,2.8,0.4,6,0.89,71
2371,政变,3,0.63,6,0.63,41
2389,轰炸,3.8,0.75,6,0.63,59
2392,打压,3.2,0.75,6,1.1,40
2399,空袭,3,0.63,6,0.63,28
2421,遏止,4,1.41,6,1.41,34
2430,打出,4.4,0.8,6,0.63,60
2443,开枪,2.8,0.4,6,1.1,26
2486,侵入,3.4,0.49,6,0.63,52
2506,强盗,3,0,6,0.89,159
2542,动武,3.4,0.49,6,0.63,42
2543,逃生,3.6,0.49,6,0.89,34
2545,变革,3.6,1.02,6,1.26,91
2579,驱逐,3.2,0.4,6,0.63,27
2591,诽谤,3,0.63,6,1.1,4
2609,凶手,2.2,0.75,6,1.1,9
2613,蓄意,3.4,0.49,6,1.41,15
2627,相撞,3,0.63,6,1.1,8
2631,好战,4.6,0.8,6,2,7
2633,欺骗,3.2,0.4,6,0.89,76
2660,暗杀,1.8,0.75,6,0,14
2671,潜逃,3.4,0.49,6,1.1,13
2695,勒赎,2.4,0.49,6,0.89,11
2701,过份,3.4,0.8,6,1.1,36
2719,呕吐,3.4,0.8,6,1.1,46
2723,求救,3.6,0.49,6,0.63,20
2736,受挫,3.4,0.49,6,0.63,15
2794,囚禁,3,0.63,6,1.1,12
2840,出轨,3.2,0.748,6,1.225,0
2873,中伤,3.3,0.748,6,0.949,0
2881,废物,2.9,0.8,6,1.14,42
2894,上吊,2.2,0.4,6,2.098,11
2902,逼使,3.5,1.265,6,0.949,11
2905,毁谤,3,0.548,6,1.095,0
2970,热恋,6.5,0.447,6,1.304,8
3091,忧心忡忡,3.4,0.49,6,1.095,31
3148,走失,3.2,0.748,6,0,13
3238,完满,7.4,1.02,6,0.632,8
3250,刚毅,6.5,0.632,6,1.265,0
3271,形影不离,6.4,1.068,6,0.632,0
3283,醉人,6.1,1.428,6,1.871,11
3310,骚乱,3,0.707,6,1.817,0
3318,偷工减料,3,0.707,6,1.517,14
3331,独裁者,3,0.949,6,1.789,0
3366,重击,2.5,0.447,6,1.871,8
3374,吵架,2.9,0.49,6,0.837,162
3565,从善如流,6.6,1.14,6,1.173,5
3581,硬化,2.7,0.975,6,1.414,35
3603,扛龟,2.6,0.894,6,1.458,0
3606,搞笑,6.5,1.118,6,1.458,5
3676,焕然一新,7.4,0.548,6,1.414,21
3687,恶狠,1.9,0.742,6,1.414,0
3761,惨兮兮,2.4,0.962,6,1.541,0
3795,醉倒,2.1,0.742,6,1.541,8
3814,藏污纳垢,1.9,0.742,6,1.225,0
3827,烂掉,2.1,1.14,6,1,4
3898,潇洒,7.1,1.294,6,1.414,38
3916,崇尚,7,1.061,6,1.458,26
3942,繁华,7.7,0.447,6,1.581,82
4010,行得通,6.8,0.837,6,0.707,15
4110,争气,7.3,0.975,6,1.225,15
4195,不胜枚举,6.3,1.204,6,1.369,29
4242,物美价廉 ,7.7,0.671,6,1.696,21
4317,可圈可点,7.9,1.245,6,1.061,5
4396,始料未及,3.6,0.962,6,0.866,10
4430,无能力,3,0.632,6,0.894,0
4431,没能力,3,0.632,6,0.894,0
4524,欺负弱小,3.1,0.548,6,1.173,0
4552,醉汉,3.2,0.758,6,1.225,8
4631,受惊,3.8,1.304,6,1,7
4679,无赖,2.6,1.294,6,1.414,9
4692,有碍观瞻,3.3,0.975,6,1.871,6
4764,批斗,3.5,0.707,6,1.541,7
4807,叛国,3,1.275,6,1.732,0
4808,恶有恶报,3.7,0.671,6,1.732,4
4816,疯人,3.9,0.418,6,1.969,0
4817,疯子,3.9,0.418,6,1.969,13
4843,胆大妄为,3.6,1.294,6,1.458,0
4982,逼走,3.3,1.304,6,2.449,0
5494,滑顺好涂,7.1,0.894,6,1.225,0
5497,群芳争艳,7.3,0.671,6,1,0
2945,奸淫,2.8,0.4,6.1,1.02,0
2957,不屈不挠,7.1,1.114,6.1,1.428,9
2996,干劲,6,0.548,6.1,1.685,23
3079,失常,3.2,0.4,6.1,0.917,19
3131,计较,3.8,0.4,6.1,0.663,75
3157,强加,4.3,0.98,6.1,0.8,0
3178,诱人,6,0.632,6.1,1.744,31
3253,望子成龙,6.7,1.249,6.1,1.625,11
3369,罢课,2.8,0.872,6.1,1.281,0
3514,痴心,5.8,0.6,6.1,0.663,0
3528,嘻嘻哈哈,5.6,1.02,6.1,1.2,9
3552,凄惨,1.7,0.447,6.1,1.245,11
3614,诡异,2.7,0.837,6.1,1.342,33
3616,狰狞,2,1.225,6.1,1.245,9
3637,无以复加,3.8,1.304,6.1,1.14,0
3641,酸痛,2.6,0.894,6.1,1.517,4
3642,酸痛,2.6,0.894,6.1,1.517,19
3643,酸酸痛痛,2.6,0.894,6.1,1.517,0
3644,酸酸痛痛,2.6,0.894,6.1,1.517,0
3680,肿痛,2.9,1.245,6.1,1.597,8
3768,呕心沥血,7.4,0.962,6.1,1.432,4
3781,层出不穷,4.4,0.652,6.1,0.894,41
3863,独得,7,1,6.1,1.245,11
3885,精准,7.5,1,6.1,1.517,14
3887,优越,7.7,1.304,6.1,1.025,58
3888,应有尽有,6.9,0.224,6.1,1.557,32
3937,漏电,3.7,1.204,6.1,1.517,0
3979,嫌弃,2.4,1.14,6.1,1.245,6
4247,买一送一 ,6.8,0.908,6.1,1.084,0
4267,淋漓尽致 ,7.6,0.418,6.1,0.962,23
4271,胜出 ,7.4,1.084,6.1,0.962,0
4382,身历其境,6.1,1.673,6.1,0.962,20
4475,凄惨,1.7,0.447,6.1,1.245,6
4562,蛮干,3.8,0.758,6.1,1.342,8
4645,训斥,1.6,0.548,6.1,1.432,5
4761,妒恨,2.7,0.447,6.1,0.962,0
4782,歼灭,3.9,1.917,6.1,1.597,0
4814,夭折,3,1.458,6.1,1.517,14
4863,责骂,3.9,0.652,6.1,1.673,23
5203,色欲,3.9,0.224,6.1,1.025,0
5382,忿恨,3,1,6.1,1.14,0
5419,砰然,5.5,0.935,6.1,1.245,0
12,不知所措,3.2,0.748,6.2,1.327,31
16,不准,3.6,0.49,6.2,0.98,66
51,嘻嘻,7,1.095,6.2,0.748,25
67,吸引,6,0.632,6.2,1.327,560
78,喜爱,7.2,0.4,6.2,0.98,275
91,鼓励,7,0,6.2,0.748,906
147,取笑,3.6,0.49,6.2,0.748,16
184,嘲弄,2.6,0.8,6.2,0.748,20
202,戏弄,3.4,0.49,6.2,0.98,11
212,欢送,6,0.632,6.2,1.166,8
213,欢聚,7.2,0.98,6.2,1.47,0
225,上当,3.2,1.166,6.2,1.72,43
230,大胆,5.4,0.49,6.2,1.47,127
264,反对,3.4,0.8,6.2,1.166,644
298,可爱,7,0.632,6.2,1.166,396
305,外伤,3.6,1.02,6.2,1.166,22
317,打破,4,0.632,6.2,1.166,261
344,光荣,6.8,0.4,6.2,1.166,66
366,成就,7,0,6.2,1.47,374
408,色情,2.8,0.98,6.2,1.72,120
438,妨害,2.6,1.02,6.2,0.748,77
477,牢骚,3.4,0.49,6.2,0.98,18
532,忠心,7.4,0.49,6.2,1.166,12
554,拙劣,2.6,0.8,6.2,1.72,0
555,放任,3,0.632,6.2,1.47,32
572,欣然,6.4,0.49,6.2,1.327,28
592,侵犯,2.4,0.49,6.2,2.227,97
603,保证,6.6,0.49,6.2,0.98,202
670,活力,6.6,0.49,6.2,0.98,187
689,美妙,7,0.632,6.2,1.6,57
706,负心,2.4,0.49,6.2,2.227,0
732,娱乐,6.4,0.49,6.2,1.6,199
754,悔过,2.8,0.4,6.2,1.166,5
789,祝贺,7,0.632,6.2,1.166,27
804,缺憾,2.6,0.8,6.2,2.227,29
821,衰败,3,0.632,6.2,2.227,23
826,迷人,6.8,0.4,6.2,1.166,96
830,迷乱,3.2,1.166,6.2,0.748,4
832,迷恋,4.4,1.02,6.2,1.72,15
833,逃离,4,0,6.2,0.98,27
851,动人,6.8,0.4,6.2,0.748,101
855,坚决,5.4,0.49,6.2,1.327,88
857,坚强,6.8,0.748,6.2,1.327,97
945,统治,5.2,0.748,6.2,1.166,299
982,创伤,2.8,0.4,6.2,0.748,30
995,喜宴,6.6,0.49,6.2,1.72,14
996,喜悦,7.4,0.49,6.2,1.166,139
1004,丧心,3,0,6.2,1.6,0
1008,丧偶,2.6,1.02,6.2,1.166,9
1042,恶人,2.8,0.748,6.2,0.98,21
1043,恶化,2.8,0.4,6.2,0.748,147
1062,最好,6.8,0.4,6.2,0.748,466
1066,棘手,3.4,0.49,6.2,0.748,41
1067,欺,3.2,0.98,6.2,0.748,17
1097,痛,3,0.632,6.2,0.98,281
1101,发抖,3.4,0.49,6.2,0.98,41
1106,发愁,3,0.632,6.2,1.327,7
1118,虚荣,3,0.632,6.2,1.327,21
1122,费力,3.4,0.49,6.2,0.98,37
1142,伤心,3,0.632,6.2,1.166,134
1156,嫉,3,0.632,6.2,1.166,5
1167,爱慕,6.8,0.98,6.2,1.6,14
1173,愧,3.4,0.49,6.2,0.748,0
1178,损人,3,0.894,6.2,0.748,0
1195,毁损,2.8,0.4,6.2,1.72,17
1206,烦人,3.4,0.49,6.2,0.98,8
1208,烦忙,3.2,0.4,6.2,1.72,0
1211,烦恼,3,0.632,6.2,1.166,119
1260,顽强,5,1.095,6.2,0.748,14
1293,疑惧,3.8,0.748,6.2,1.166,9
1322,鄙,2.8,0.4,6.2,1.166,0
1327,铭印,5.8,0.748,6.2,0.98,0
1340,堕落,2.4,0.8,6.2,2.4,44
1357,忧虑,2.8,0.4,6.2,1.166,36
1363,挚爱,7.8,0.748,6.2,1.72,5
1417,调戏,3.6,0.49,6.2,0.748,0
1421,辉煌,7,0.632,6.2,0.748,78
1432,魄力,7,0,6.2,0.748,32
1473,亲密,7.6,0.49,6.2,1.327,90
1487,错乱,3,0.894,6.2,1.166,9
1493,优良,7.6,1.02,6.2,1.6,154
1497,优惠,6.8,0.748,6.2,1.72,125
1511,滥情,3,0.632,6.2,1.166,14
1515,瞧不起,3.2,0.748,6.2,1.6,21
1558,惩罚,3.4,0.49,6.2,0.98,54
1585,触景伤情,2.8,0.4,6.2,0.98,0
1587,赢钱,6.6,0.8,6.2,2.135,8
1593,缠身,3.6,0.49,6.2,1.166,9
1608,欢声,7.2,0.748,6.2,0.98,4
1809,革命,5,0,6.2,0.75,422
2149,义不容辞,6.2,0.75,6.2,0.75,6
2167,奋勇,6.4,0.49,6.2,1.72,21
2302,强制,4.2,0.75,6.2,0.75,52
2444,扑灭,3.8,1.17,6.2,0.75,20
2452,动乱,3.2,0.4,6.2,0.75,48
2499,吸毒,2.8,0.4,6.2,0.75,84
2503,致死,2.2,0.4,6.2,1.17,26
2574,肆虐,3.2,0.4,6.2,1.17,26
2597,闯入,3.2,0.4,6.2,0.98,34
2598,突发,4,0.89,6.2,0.98,44
2607,进攻,4.2,1.17,6.2,0.98,58
2617,极度,4.2,0.75,6.2,1.47,74
2635,撞击,3.6,0.49,6.2,0.98,40
2641,抵抗,3.4,0.8,6.2,1.17,70
2659,暴徒,2.4,0.49,6.2,0.98,8
2692,压倒性,5.2,0.75,6.2,1.6,10
2735,质问,3.6,1.36,6.2,1.17,46
2753,较劲,4.4,1.02,6.2,1.17,32
2791,背信,3.2,0.75,6.2,0.75,8
2831,剥削,2.8,1.122,6.2,1.327,53
2877,夸张,4.5,0.775,6.2,0.678,92
2888,扼杀,3.1,1.114,6.2,1.208,31
2977,喝彩,6.7,1.077,6.2,1.208,0
3023,一见钟情,6.4,0.97,6.2,0.748,10
3122,恶质,2.7,0.6,6.2,0.4,12
3150,不值,3.6,0.735,6.2,1.122,19
3233,互爱,7,0.894,6.2,0.98,0
3279,深谋远虑,7.3,0.6,6.2,1.364,0
3307,暴风,3.5,0.632,6.2,1.965,0
3315,藐视,3,0.632,6.2,1.806,0
3338,冲动,4,0.837,6.2,1.965,99
3484,你侬我侬,6.8,0.678,6.2,1.077,0
3490,肝胆相照,6.5,0.447,6.2,1.47,0
3553,排山倒海,3.7,1.204,6.2,1.095,14
3583,超弱,2.2,0.57,6.2,1.095,0
3593,进退两难,4.1,0.894,6.2,0.908,7
3601,愚昧,2.9,0.894,6.2,0.908,23
3610,肆无忌惮,3.2,0.758,6.2,1.483,10
3656,犀利,7.2,0.837,6.2,1.151,22
3659,绝佳,8.2,0.837,6.2,1.304,37
3666,顺畅,7.4,0.894,6.2,1.304,38
3753,超现实,4.3,0.975,6.2,1.351,18
3777,畅销,7.8,1.037,6.2,1.351,60
3788,紧锣密鼓,5.7,0.671,6.2,1.351,10
3819,鸡婆,3,1.061,6.2,0.908,0
3847,鹤立鸡群,8.2,1.304,6.2,1.304,4
3886,颇佳,7.1,0.894,6.2,1.525,14
3906,不可小觑,6.7,0.975,6.2,1.304,0
3940,精进,7,0.707,6.2,0.837,53
3974,独享,6.2,0.908,6.2,1.643,7
3982,赢过,7.3,0.447,6.2,0.447,0
4024,退税,5.9,1.025,6.2,1.643,8
4076,抽筋,4,1.225,6.2,1.304,9
4201,吃力,3.1,0.742,6.2,1.351,52
4366,困恼,2.8,0.837,6.2,0.758,0
4505,内讧,3.1,1.025,6.2,1.483,6
4511,猛吃,4.5,0.5,6.2,1.483,4
4644,瞎眼,1.6,0.894,6.2,1.304,0
4671,好斗,3.4,1.14,6.2,1.643,0
4672,带衰,1.6,0.894,6.2,1.643,0
4723,烙印,3.3,1.304,6.2,1.643,12
4779,玷污,2.5,1.173,6.2,1.44,0
4784,毒杀,2.2,1.151,6.2,1.204,0
4836,乱砍,3,1.458,6.2,1.351,0
4838,以牙还牙,3.1,1.517,6.2,1.891,0
4852,泄恨,3.2,0.908,6.2,2.019,0
4905,不可理喻,3.3,1.396,6.2,1.44,10
4953,耻笑,3.3,0.975,6.2,1.789,9
5148,烂爆,1.9,0.742,6.2,1.304,0
5188,撕碎,3.6,1.14,6.2,0.758,0
5243,结仇,3.1,0.224,6.2,1.823,0
5452,明亮动人,7.3,0.57,6.2,1.204,0
2815,垮台,2.7,1.077,6.3,1.833,9
2914,不甘示弱,5.3,0.748,6.3,1.4,32
3082,搜捕,4.2,0.748,6.3,0.6,0
3116,恶作剧,3.5,0.447,6.3,1.166,10
3173,忏悔,4.3,1.077,6.3,1.661,16
3249,希冀,6.3,0.748,6.3,1.249,0
3251,痴情,6.8,0.748,6.3,0.98,0
3274,侠义,7.2,0.51,6.3,0.678,0
3289,魔鬼,2,0.707,6.3,1.887,34
3363,斥责,2.6,0.374,6.3,1.03,22
3465,雄辩,5.4,1.393,6.3,1.327,0
3554,一举数得,7.4,1.084,6.3,1.304,8
3584,华而不实,2.9,0.894,6.3,1.151,0
3670,慌乱,3.1,0.894,6.3,1.304,25
3822,超群,7.5,1.118,6.3,0.671,9
3852,枉费,3,1,6.3,1.483,6
3960,心疼,2.8,1.304,6.3,1.095,49
4017,干净,7.3,0.837,6.3,1.204,202
4018,干干净净,7.3,0.837,6.3,1.204,43
4200,牛刀小试,7.1,0.894,6.3,1.396,0
4312,出头,6,0.866,6.3,1.151,18
4359,耳目一新,6.7,0.908,6.3,1.565,15
4407,叱责,2.6,0.374,6.3,1.03,0
4462,斥骂,2.6,0.374,6.3,1.03,0
4463,叱骂,2.6,0.374,6.3,1.03,0
4774,焦燥,3.5,0.354,6.3,0.837,0
4775,焦躁,3.5,0.354,6.3,0.837,16
4813,穷凶极恶,2.5,0.866,6.3,1.718,0
4856,惨死,2.8,1.037,6.3,2.019,9
4914,吓出冷汗,4.1,0.652,6.3,2.11,0
4915,吓出一身冷汗,4.1,0.652,6.3,2.11,0
5153,糟透,1.8,0.274,6.3,2.168,0
5154,糟透了,1.8,0.274,6.3,2.168,0
5165,亡命,2.2,1.304,6.3,1.718,5
5248,欠扁,3.4,0.894,6.3,0.671,0
5292,输光,2.8,1.304,6.3,1.483,0
5328,凌辱,2.1,0.224,6.3,1.396,4
5493,暗变亮,6.6,0.822,6.3,1.255,0
